,host,events,duration,implementation
0,athena,1000000,0.07386994361877441,SYCL-acpp
0,athena,1000000,0.07360577583312988,SYCL-acpp
0,athena,1000000,0.07208085060119629,SYCL-acpp
0,athena,1000000,0.07275605201721191,SYCL-acpp
0,athena,1000000,0.07238197326660156,SYCL-acpp
0,athena,1000000,0.07288670539855957,SYCL-acpp
0,athena,1000000,0.07214069366455078,SYCL-acpp
0,athena,1000000,0.07285761833190918,SYCL-acpp
0,athena,1000000,0.07193922996520996,SYCL-acpp
0,athena,1000000,0.07305216789245605,SYCL-acpp
0,athena,1000000,0.07225203514099121,SYCL-acpp
0,athena,1000000,0.07304000854492188,SYCL-acpp
0,athena,1000000,0.07209277153015137,SYCL-acpp
0,athena,1000000,0.07311511039733887,SYCL-acpp
0,athena,1000000,0.07229280471801758,SYCL-acpp
0,athena,1000000,0.0730133056640625,SYCL-acpp
0,athena,1000000,0.07233595848083496,SYCL-acpp
0,athena,1000000,0.07305574417114258,SYCL-acpp
0,athena,1000000,0.07203984260559082,SYCL-acpp
0,athena,1000000,0.07303524017333984,SYCL-acpp
0,athena,1000000,0.07195687294006348,SYCL-acpp
0,athena,1000000,0.07281827926635742,SYCL-acpp
0,athena,1000000,0.07205581665039062,SYCL-acpp
0,athena,1000000,0.07312560081481934,SYCL-acpp
0,athena,1000000,0.07206130027770996,SYCL-acpp
0,athena,1000000,0.07292294502258301,SYCL-acpp
0,athena,1000000,0.07226395606994629,SYCL-acpp
0,athena,1000000,0.0729227066040039,SYCL-acpp
0,athena,1000000,0.07209205627441406,SYCL-acpp
0,athena,1000000,0.07330894470214844,SYCL-acpp
0,athena,1000000,0.07224607467651367,SYCL-acpp
0,athena,1000000,0.07310843467712402,SYCL-acpp
0,athena,1000000,0.07234930992126465,SYCL-acpp
0,athena,1000000,0.0728914737701416,SYCL-acpp
0,athena,1000000,0.07243156433105469,SYCL-acpp
0,athena,1000000,0.07306647300720215,SYCL-acpp
0,athena,1000000,0.07481050491333008,SYCL-acpp
0,athena,1000000,0.07286453247070312,SYCL-acpp
0,athena,1000000,0.0725405216217041,SYCL-acpp
0,athena,1000000,0.07392740249633789,SYCL-acpp
0,athena,1000000,0.07106184959411621,SYCL-acpp
0,athena,1000000,0.06703758239746094,SYCL-acpp
0,athena,1000000,0.07045745849609375,SYCL-acpp
0,athena,1000000,0.06681013107299805,SYCL-acpp
0,athena,1000000,0.07040619850158691,SYCL-acpp
0,athena,1000000,0.06704568862915039,SYCL-acpp
0,athena,1000000,0.07212400436401367,SYCL-acpp
0,athena,1000000,0.07068324089050293,SYCL-acpp
0,athena,1000000,0.0694267749786377,SYCL-acpp
0,athena,1000000,0.07069587707519531,SYCL-acpp
