,host,events,duration,implementation
0,faraday,1000000,0.21042847633361816,SYCL-acpp
0,faraday,1000000,0.19748163223266602,SYCL-acpp
0,faraday,1000000,0.20567798614501953,SYCL-acpp
0,faraday,1000000,0.19822025299072266,SYCL-acpp
0,faraday,1000000,0.20036649703979492,SYCL-acpp
0,faraday,1000000,0.1874217987060547,SYCL-acpp
0,faraday,1000000,0.18142271041870117,SYCL-acpp
0,faraday,1000000,0.17605853080749512,SYCL-acpp
0,faraday,1000000,0.17713499069213867,SYCL-acpp
0,faraday,1000000,0.1832871437072754,SYCL-acpp
0,faraday,1000000,0.18139314651489258,SYCL-acpp
0,faraday,1000000,0.17984533309936523,SYCL-acpp
0,faraday,1000000,0.18064045906066895,SYCL-acpp
0,faraday,1000000,0.18410682678222656,SYCL-acpp
0,faraday,1000000,0.1853947639465332,SYCL-acpp
0,faraday,1000000,0.18781232833862305,SYCL-acpp
0,faraday,1000000,0.19253230094909668,SYCL-acpp
0,faraday,1000000,0.1837923526763916,SYCL-acpp
0,faraday,1000000,0.18472957611083984,SYCL-acpp
0,faraday,1000000,0.18950271606445312,SYCL-acpp
0,faraday,1000000,0.18714380264282227,SYCL-acpp
0,faraday,1000000,0.1846010684967041,SYCL-acpp
0,faraday,1000000,0.18399739265441895,SYCL-acpp
0,faraday,1000000,0.18176698684692383,SYCL-acpp
0,faraday,1000000,0.2604217529296875,SYCL-acpp
0,faraday,1000000,0.18415284156799316,SYCL-acpp
0,faraday,1000000,0.1811068058013916,SYCL-acpp
0,faraday,1000000,0.18220949172973633,SYCL-acpp
0,faraday,1000000,0.18297815322875977,SYCL-acpp
0,faraday,1000000,0.18049168586730957,SYCL-acpp
0,faraday,1000000,0.1833200454711914,SYCL-acpp
0,faraday,1000000,0.18170619010925293,SYCL-acpp
0,faraday,1000000,0.28162407875061035,SYCL-acpp
0,faraday,1000000,0.1977071762084961,SYCL-acpp
0,faraday,1000000,0.19970178604125977,SYCL-acpp
0,faraday,1000000,0.1969289779663086,SYCL-acpp
0,faraday,1000000,0.2016139030456543,SYCL-acpp
0,faraday,1000000,0.2014913558959961,SYCL-acpp
0,faraday,1000000,0.1993088722229004,SYCL-acpp
0,faraday,1000000,0.2153475284576416,SYCL-acpp
0,faraday,1000000,0.2721843719482422,SYCL-acpp
0,faraday,1000000,0.2130265235900879,SYCL-acpp
0,faraday,1000000,0.20822739601135254,SYCL-acpp
0,faraday,1000000,0.2057478427886963,SYCL-acpp
0,faraday,1000000,0.20822739601135254,SYCL-acpp
0,faraday,1000000,0.20545125007629395,SYCL-acpp
0,faraday,1000000,0.20924806594848633,SYCL-acpp
0,faraday,1000000,0.20833373069763184,SYCL-acpp
0,faraday,1000000,0.2274303436279297,SYCL-acpp
0,faraday,1000000,0.20044946670532227,SYCL-acpp
