,host,events,duration,implementation
0,milan0,10000000,3.0083014965057373,C++
0,milan0,10000000,1.8636524677276611,OpenMP
0,milan0,10000000,3.055575370788574,SYCL-acpp
0,milan0,10000000,3.012295961380005,C++
0,milan0,10000000,1.9081945419311523,OpenMP
0,milan0,10000000,2.983572483062744,SYCL-acpp
0,milan0,10000000,2.8697235584259033,C++
0,milan0,10000000,1.9100914001464844,OpenMP
0,milan0,10000000,2.9921088218688965,SYCL-acpp
0,milan0,10000000,2.841212272644043,C++
0,milan0,10000000,2.009787082672119,OpenMP
0,milan0,10000000,2.988589286804199,SYCL-acpp
0,milan0,10000000,2.9193620681762695,C++
0,milan0,10000000,2.072662115097046,OpenMP
0,milan0,10000000,2.983245611190796,SYCL-acpp
