,host,events,duration,implementation
0,milan0,8000000,1.3878936767578125,SYCL-dpcp
0,milan0,8000000,1.3794255256652832,SYCL-dpcp
0,milan0,8000000,1.3790264129638672,SYCL-dpcp
0,milan0,8000000,1.381148099899292,SYCL-dpcp
0,milan0,8000000,1.381199836730957,SYCL-dpcp
